"","INCI_ID","WARD","UCRsummary","STATUTDESC","WEAPON1DESC","WEAPON2DESC","WEAPON_CATEGORY","Crime","CrimeType","CrimeCategory","DATE_REPT","ArrestID","ArrestDate","ArrestCharge","ArrestChargeDescription","Severity","Age","AgeGroup","ArresteeSex","ArresteeRace","ArresteeEthnicity"
"11","2201030228  ",3,3,"ROBBERY/MISCELLANEOUS","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/03 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2201050212  ",4,3,"ROBBERY/COMMERCIAL HOUSE","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/05 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2201130043  ",2,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/13 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2201130194  ",3,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/13 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2201010148  ",3,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/01 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2201150145  ",2,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/15 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2201090004  ",1,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/09 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2201090130  ",5,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/09 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2201150115  ",6,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/15 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2201120123  ",6,4,"ASSAULT, AGGRAVATED/DRIVEBY SHOOTING","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/12 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2201140074  ",6,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/14 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2201120130  ",2,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/12 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2201140112  ",1,4,"ASSAULT, AGGRAVATED/OTHER","OTHER FIREARM","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/14 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2201120147  ",1,3,"ROBBERY/MISCELLANEOUS","FIREARM AUTOMATIC","","FIREARM","Part 1","Robbery","Violent","2022/01/12 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2201140051  ",3,3,"ROBBERY/RESIDENCE","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/14 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2201140088  ",3,3,"ROBBERY/HIGHWAY","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/14 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2201070139  ",1,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/07 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2201190165  ",1,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/19 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2201060222  ",1,15,"WEAPONS/CARRYING CONCEALED","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/06 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2201200109  ",1,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/20 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2201100004  ",NA,4,"ASSAULT, AGGRAVATED/DRIVEBY SHOOTING","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/09 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2201200021  ",3,61,"MISCELLANEOUS/OFFICER","HANDGUN","","FIREARM","Other","Miscellaneous","Other","2022/01/20 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2201070094  ",3,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/07 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2201190023  ",1,3,"ROBBERY/RESIDENCE","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/19 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2201090014  ",2,2,"SEXUAL ASSAULT/FORCIBLE RAPE","HANDGUN","","FIREARM","Part 1","Sex Assault","Violent","2022/01/09 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2201070006  ",1,4,"ASSAULT, AGGRAVATED/OTHER","FIREARM AUTOMATIC","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/07 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2201020135  ",1,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/02 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2201160194  ",3,24,"DISORDERLY CONDUCT/DISCHARGING FIREARMS OR FIREWKS","HANDGUN","","FIREARM","Part 2","Disorderly Conduct","Quality of Life","2022/01/16 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2201170040  ",3,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/17 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2201010174  ",5,3,"ROBBERY/CONVENIENCE STORE","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/01 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2201150108  ",3,3,"ROBBERY/MISCELLANEOUS","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/15 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2201120155  ",1,26,"OTHER OFFENSES/KIDNAPPING","RIFLE","","FIREARM","Part 2","Other Felony/Misdemeanor","Violent","2022/01/12 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2201070012  ",1,3,"ROBBERY/CARJACKING","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/07 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2201230132  ",1,3,"ROBBERY/HIGHWAY","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/23 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2201250181  ",3,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/25 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2201070138  ",2,4,"ASSAULT, AGGRAVATED/OTHER - DOMESTIC VIOLENCE","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/07 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2201010037  ",6,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/01 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2201230103  ",6,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/23 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2201180231  ",1,24,"DISORDERLY CONDUCT/DISCHARGING FIREARMS OR FIREWKS","HANDGUN","","FIREARM","Part 2","Disorderly Conduct","Quality of Life","2022/01/18 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2201140052  ",1,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/14 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2201200141  ",3,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/20 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2201150173  ",6,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/15 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2201120144  ",3,3,"ROBBERY/HIGHWAY","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/12 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2201200232  ",1,3,"ROBBERY/CONVENIENCE STORE","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/20 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2201010021  ",2,4,"ASSAULT, AGGRAVATED/OTHER - DOMESTIC VIOLENCE","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/01 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2201280085  ",2,53,"PUBLIC ASSIST/CHECK WELFARE","HANDGUN","","FIREARM","Other","Public Assist","Assist","2022/01/28 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2201290013  ",3,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/29 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2201060228  ",1,3,"ROBBERY/HIGHWAY","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/06 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2201300066  ",6,3,"ROBBERY/HIGHWAY","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/30 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2201110033  ",2,4,"ASSAULT, AGGRAVATED/OTHER","FIREARM AUTOMATIC","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/11 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2201160207  ",5,3,"ROBBERY/HIGHWAY","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/16 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2201200211  ",1,3,"ROBBERY/CONVENIENCE STORE","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/20 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2201310224  ",5,61,"MISCELLANEOUS/OFFICER","RIFLE","","FIREARM","Other","Miscellaneous","Other","2022/01/31 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2201280184  ",6,3,"ROBBERY/HIGHWAY","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/28 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2201270031  ",5,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/21 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2201270040  ",5,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/27 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2201060010  ",6,3,"ROBBERY/CARJACKING","FIREARM AUTOMATIC","","FIREARM","Part 1","Robbery","Violent","2022/01/06 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2201220014  ",5,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/22 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2201220151  ",3,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/22 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2202010093  ",2,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/02/01 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2202020085  ",3,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/02 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2202030069  ",6,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/03 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2201310256  ",6,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/31 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2201050173  ",6,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/05 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2201290180  ",3,4,"ASSAULT, AGGRAVATED/OTHER","OTHER FIREARM","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/29 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2201060225  ",4,4,"ASSAULT, AGGRAVATED/OTHER - DOMESTIC VIOLENCE","AUTOMATIC HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/06 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2201120173  ",5,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/12 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2201230154  ",3,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/23 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2201240236  ",3,4,"ASSAULT, AGGRAVATED/OTHER - DOMESTIC VIOLENCE","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/24 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2201300181  ",1,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/30 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2202070008  ",5,3,"ROBBERY/MISCELLANEOUS","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/02/07 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2201230043  ",5,4,"ASSAULT, AGGRAVATED/OTHER - DOMESTIC VIOLENCE","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/23 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2202060124  ",6,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/06 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2201220019  ",3,18,"NARCOTIC DRUG LAWS/POSSESSION","HANDGUN","","FIREARM","Part 2","Drug Offense","Quality of Life","2022/01/22 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2202010168  ",4,15,"WEAPONS/ILLEGAL","SHOTGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/02/01 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2201030016  ",6,3,"ROBBERY/CONVENIENCE STORE","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/03 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2201280202  ",1,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/28 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2201170118  ",5,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/17 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2201260235  ",4,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/26 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2202010002  ",4,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/02/01 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2202060122  ",1,24,"DISORDERLY CONDUCT/DISCHARGING FIREARMS OR FIREWKS","HANDGUN","","FIREARM","Part 2","Disorderly Conduct","Quality of Life","2022/02/06 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2202070232  ",3,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/02/07 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2202110080  ",6,61,"MISCELLANEOUS/OFFICER","HANDGUN","","FIREARM","Other","Miscellaneous","Other","2022/02/11 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","2201180204  ",5,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/18 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","2202070072  ",1,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/07 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","2202120056  ",5,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/12 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","2202130129  ",5,3,"ROBBERY/HIGHWAY","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/02/13 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2201120124  ",6,4,"ASSAULT, AGGRAVATED/OTHER - DOMESTIC VIOLENCE","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/12 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","2201280124  ",1,3,"ROBBERY/HIGHWAY","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/28 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2201240147  ",1,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/24 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2202120111  ",3,4,"ASSAULT, AGGRAVATED/OTHER","SHOTGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/12 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","2202070224  ",5,3,"ROBBERY/HIGHWAY","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/02/07 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2201280211  ",1,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/28 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","2202030117  ",5,15,"WEAPONS/OTHER","SHOTGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/02/03 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","2201040213  ",5,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/04 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","2201250161  ",5,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/25 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2201260216  ",5,3,"ROBBERY/CARJACKING","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/26 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2201310180  ",3,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/31 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2201300033  ",5,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/30 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","2202150249  ",5,4,"ASSAULT, AGGRAVATED/DRIVEBY SHOOTING","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/15 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","2202100028  ",5,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/10 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","2201230150  ",3,3,"ROBBERY/MISCELLANEOUS","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/23 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","2202160143  ",3,41,"MENTAL CASES/TRANSPORTED TO TREATMENT FACILITY","HANDGUN","","FIREARM","Other","Mental Case","Quality of Life","2022/02/16 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","2202050157  ",2,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/05 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","2201070189  ",1,15,"WEAPONS/CARRYING CONCEALED","RIFLE","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/07 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","2201260205  ",5,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/26 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2202010015  ",1,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/01 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","2202050086  ",5,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/05 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2202050106  ",5,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/05 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","2202050149  ",1,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/05 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","2202180086  ",4,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/18 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","2202190075  ",5,6,"LARCENY/FROM RESIDENCE","HANDGUN","","FIREARM","Part 1","Larceny","Property","2022/02/19 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2202140233  ",3,4,"ASSAULT, AGGRAVATED/OTHER","RIFLE","","FIREARM","Part 1","Agg. Assault","Violent","2022/02/14 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
