"","MasterID","INCI_ID","ArrestID","WEAPON_CATEGORY","CrimeType","CrimeCategory","WARD","ArrestDate","ArrestCharge","shot"
"53","M000044",2201200021,NA,"FIREARM","Miscellaneous","Other",3,NA,NA,FALSE
"54","M000045",2201070094,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,TRUE
"55","M000046",2201070094,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"56","M000047",2201070094,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"57","M000048",2201190023,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"58","M000005",2201090014,NA,"FIREARM","Sex Assault","Violent",2,NA,NA,FALSE
"59","M000049",2201070006,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"60","M000050",2201070006,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"61","M000051",2201070006,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"62","M000052",2201020135,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,FALSE
"63","M000053",2201020135,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,FALSE
"64","M000051",2201160194,NA,"FIREARM","Disorderly Conduct","Quality of Life",3,NA,NA,FALSE
"65","M000054",2201160194,NA,"FIREARM","Disorderly Conduct","Quality of Life",3,NA,NA,FALSE
"66","M000055",2201160194,NA,"FIREARM","Disorderly Conduct","Quality of Life",3,NA,NA,FALSE
"67","M000056",2201170040,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"68","M000057",2201170040,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"69","M000058",2201010174,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"70","M000059",2201010174,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"71","M000011",2201150108,NA,"FIREARM","Robbery","Violent",3,NA,NA,FALSE
"72","M000060",2201120155,NA,"FIREARM","Other Felony/Misdemeanor","Violent",1,NA,NA,FALSE
"73","M000052",2201070012,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"74","M000061",2201070012,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"75","M000062",2201070012,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"76","M000049",2201230132,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"77","M000063",2201230132,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"78","M000064",2201250181,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"79","M000001",2201070138,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,TRUE
"80","M000065",2201070138,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"81","M000066",2201070138,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"82","M000067",2201010037,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"83","M000068",2201230103,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"84","M000069",2201180231,NA,"FIREARM","Disorderly Conduct","Quality of Life",1,NA,NA,FALSE
"85","M000070",2201140052,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,FALSE
"86","M000047",2201200141,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"87","M000071",2201200141,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"88","M000072",2201200141,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"89","M000073",2201150173,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"90","M000074",2201150173,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"91","M000075",2201120144,NA,"FIREARM","Robbery","Violent",3,NA,NA,FALSE
"92","M000003",2201200232,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"93","M000076",2201010021,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"94","M000034",2201280085,NA,"FIREARM","Public Assist","Assist",2,NA,NA,FALSE
"95","M000077",2201290013,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"96","M000078",2201290013,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,TRUE
"97","M000031",2201060228,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"98","M000079",2201060228,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"99","M000080",2201300066,NA,"FIREARM","Robbery","Violent",6,NA,NA,FALSE
"100","M000081",2201110033,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,TRUE
"101","M000082",2201110033,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"102","M000075",2201160207,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"103","M000083",2201160207,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"104","M000075",2201200211,NA,"FIREARM","Robbery","Violent",1,NA,NA,TRUE
"105","M000084",2201200211,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"106","M000039",2201310224,NA,"FIREARM","Miscellaneous","Other",5,NA,NA,FALSE
"107","M000085",2201310224,NA,"FIREARM","Miscellaneous","Other",5,NA,NA,FALSE
"108","M000086",2201280184,NA,"FIREARM","Robbery","Violent",6,NA,NA,FALSE
"109","M000083",2201270031,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"110","M000087",2201270031,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"111","M000088",2201270031,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"112","M000089",2201270040,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"113","M000090",2201060010,NA,"FIREARM","Robbery","Violent",6,NA,NA,FALSE
"114","M000091",2201220014,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"115","M000092",2201220151,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"116","M000093",2201220151,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"117","M000010",2202010093,NA,"FIREARM","Weapons Violation","Violation",2,NA,NA,FALSE
"118","M000094",2202010093,NA,"FIREARM","Weapons Violation","Violation",2,NA,NA,FALSE
"119","M000008",2202020085,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"120","M000057",2202020085,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"121","M000095",2202030069,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"122","M000093",2201310256,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"123","M000096",2201310256,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"124","M000097",2201310256,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"125","M000014",2201050173,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"126","M000098",2201050173,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"127","M000099",2201050173,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"128","M000100",2201290180,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"129","M000101",2201290180,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"130","M000102",2201290180,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"131","M000026",2201060225,NA,"FIREARM","Agg. Assault","Violent",4,NA,NA,FALSE
"132","M000103",2201060225,NA,"FIREARM","Agg. Assault","Violent",4,NA,NA,FALSE
"133","M000104",2201060225,NA,"FIREARM","Agg. Assault","Violent",4,NA,NA,FALSE
"134","M000105",2201120173,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"135","M000106",2201230154,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"136","M000107",2201230154,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"137","M000108",2201240236,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"138","M000109",2201240236,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"139","M000110",2201240236,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"140","M000072",2201300181,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"141","M000111",2201300181,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"142","M000112",2202070008,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"143","M000113",2202070008,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"144","M000114",2202070008,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"145","M000115",2201230043,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"146","M000116",2201230043,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"147","M000117",2202060124,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"148","M000118",2202060124,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"149","M000063",2201220019,NA,"FIREARM","Drug Offense","Quality of Life",3,NA,NA,FALSE
"150","M000119",2201220019,NA,"FIREARM","Drug Offense","Quality of Life",3,NA,NA,FALSE
"151","M000105",2202010168,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"152","M000120",2202010168,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"153","M000121",2202010168,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"154","M000122",2201030016,NA,"FIREARM","Robbery","Violent",6,NA,NA,FALSE
"155","M000123",2201030016,NA,"FIREARM","Robbery","Violent",6,NA,NA,FALSE
"156","M000124",2201280202,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,FALSE
"157","M000125",2201280202,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,FALSE
"158","M000126",2201170118,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"159","M000127",2201260235,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"160","M000128",2201260235,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"161","M000026",2202010002,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"162","M000129",2202010002,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"163","M000130",2202060122,NA,"FIREARM","Disorderly Conduct","Quality of Life",1,NA,NA,TRUE
"164","M000131",2202060122,NA,"FIREARM","Disorderly Conduct","Quality of Life",1,NA,NA,FALSE
"165","M000073",2202070232,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"166","M000132",2202070232,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"167","M000109",2202110080,NA,"FIREARM","Miscellaneous","Other",6,NA,NA,FALSE
"168","M000133",2202110080,NA,"FIREARM","Miscellaneous","Other",6,NA,NA,FALSE
"169","M000105",2201180204,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"170","M000134",2201180204,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"171","M000135",2202070072,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"172","M000136",2202070072,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"173","M000137",2202120056,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"174","M000138",2202120056,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"175","M000051",2202130129,NA,"FIREARM","Robbery","Violent",5,NA,NA,TRUE
"176","M000139",2202130129,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"177","M000140",2201120124,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"178","M000025",2201280124,NA,"FIREARM","Robbery","Violent",1,NA,NA,TRUE
"179","M000141",2201280124,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"180","M000142",2201280124,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"181","M000024",2201240147,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,TRUE
"182","M000143",2201240147,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"183","M000144",2201240147,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"184","M000145",2202120111,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"185","M000146",2202120111,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,TRUE
"186","M000147",2202070224,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"187","M000148",2202070224,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"188","M000040",2201280211,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,TRUE
"189","M000149",2201280211,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"190","M000116",2202030117,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"191","M000150",2202030117,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,TRUE
"192","M000037",2201040213,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"193","M000151",2201040213,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"194","M000152",2201040213,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"195","M000153",2201250161,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"196","M000154",2201250161,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"197","M000068",2201260216,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"198","M000155",2201310180,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"199","M000156",2201310180,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"200","M000077",2201300033,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"201","M000138",2201300033,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"202","M000157",2201300033,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"203","M000158",2202150249,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"204","M000159",2202150249,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"205","M000160",2202150249,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"206","M000161",2202100028,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"207","M000162",2202100028,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"208","M000163",2201230150,NA,"FIREARM","Robbery","Violent",3,NA,NA,FALSE
"209","M000077",2202160143,NA,"FIREARM","Mental Case","Quality of Life",3,NA,NA,FALSE
"210","M000149",2202050157,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"211","M000164",2202050157,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"212","M000165",2202050157,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"213","M000166",2201070189,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,FALSE
"214","M000167",2201260205,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"215","M000168",2202010015,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"216","M000169",2202010015,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"217","M000170",2202050086,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"218","M000171",2202050086,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,TRUE
"219","M000172",2202050086,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"220","M000173",2202050106,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"221","M000174",2202050149,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"222","M000175",2202180086,NA,"FIREARM","Agg. Assault","Violent",4,NA,NA,FALSE
"223","M000106",2202190075,NA,"FIREARM","Larceny","Property",5,NA,NA,FALSE
"224","M000176",2202190075,NA,"FIREARM","Larceny","Property",5,NA,NA,TRUE
"225","M000177",2202190075,NA,"FIREARM","Larceny","Property",5,NA,NA,FALSE
"226","M000127",2202140233,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,TRUE
"227","M000026",2202140233,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"228","M000137",2201300008,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"229","M000178",2201300008,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"230","M000179",2202180068,NA,"FIREARM","Miscellaneous","Other",4,NA,NA,FALSE
"231","M000180",2202200018,NA,"FIREARM","Criminal Damage","Property",6,NA,NA,FALSE
"232","M000181",2202200018,NA,"FIREARM","Criminal Damage","Property",6,NA,NA,FALSE
"233","M000096",2202130023,NA,"FIREARM","Weapons Violation","Violation",6,NA,NA,FALSE
"234","M000182",2202130023,NA,"FIREARM","Weapons Violation","Violation",6,NA,NA,FALSE
"235","M000183",2201250015,NA,"FIREARM","Weapons Violation","Violation",6,NA,NA,FALSE
"236","M000167",2202130174,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"237","M000184",2202130174,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"238","M000185",2201290175,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"239","M000186",2201290175,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"240","M000166",2201260220,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"241","M000187",2201260220,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"242","M000188",2201260220,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"243","M000189",2201020129,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"244","M000190",2201020129,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"245","M000191",2201020129,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"246","M000185",2201240043,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"247","M000192",2201240043,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"248","M000193",2201240043,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"249","M000194",2202110179,NA,"FIREARM","Other Felony/Misdemeanor","Violent",6,NA,NA,FALSE
"250","M000195",2202150045,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"251","M000196",2202150045,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"252","M000153",2202140224,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"253","M000161",2202140224,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"254","M000197",2202140224,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"255","M000008",2202170010,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"256","M000198",2202220242,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,FALSE
"257","M000199",2202220242,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,TRUE
"258","M000200",2202090162,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"259","M000201",2202090162,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"260","M000179",2202190146,NA,"FIREARM","Assault","Violent",5,NA,NA,FALSE
"261","M000202",2202190146,NA,"FIREARM","Assault","Violent",5,NA,NA,FALSE
"262","M000203",2201170013,NA,"FIREARM","Weapons Violation","Violation",6,NA,NA,FALSE
"263","M000204",2201020022,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,TRUE
"264","M000205",2201020022,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"265","M000206",2201020022,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"266","M000207",2201020101,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"267","M000147",2202190142,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,TRUE
"268","M000052",2202240171,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,TRUE
"269","M000208",2202240171,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"270","M000209",2202140235,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"271","M000210",2202270016,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,TRUE
"272","M000211",2202230107,NA,"FIREARM","Weapons Violation","Violation",2,NA,NA,FALSE
"273","M000212",2202250025,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"274","M000213",2202250025,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"275","M000047",2201240004,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"276","M000214",2201240004,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"277","M000215",2201240004,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,TRUE
"278","M000216",2202150095,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"279","M000217",2202150095,NA,"FIREARM","Robbery","Violent",5,NA,NA,FALSE
"280","M000214",2202240006,NA,"FIREARM","Agg. Assault","Violent",4,NA,NA,FALSE
"281","M000218",2202240006,NA,"FIREARM","Agg. Assault","Violent",4,NA,NA,FALSE
"282","M000219",2202240006,NA,"FIREARM","Agg. Assault","Violent",4,NA,NA,TRUE
"283","M000116",2201160028,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"284","M000220",2201160028,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"285","M000221",2201160028,NA,"FIREARM","Weapons Violation","Violation",3,NA,NA,FALSE
"286","M000222",2201030212,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"287","M000223",2201270211,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"288","M000224",2201270211,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"289","M000225",2202210022,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"290","M000226",2202210022,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"291","M000227",2202210022,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"292","M000228",2202100115,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"293","M000229",2202100115,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,TRUE
"294","M000230",2202100115,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,TRUE
"295","M000116",2202230005,NA,"FIREARM","Weapons Violation","Violation",2,NA,NA,TRUE
"296","M000231",2202230005,NA,"FIREARM","Weapons Violation","Violation",2,NA,NA,FALSE
"297","M000232",2202040103,NA,"FIREARM","Other Felony/Misdemeanor","Violent",4,NA,NA,TRUE
